rank,name,first_print_year,cmc,color,card_type,keywords,keyword_count,categories,semantic_count,total_ability_count,abilities_per_cmc
28,Tifa's Limit Break,2025,1.0,Green,Instant,"Final Heaven, Meteor Strikes, Somersault, Tiered",4,pump,1,5,5.0
29,Restoration Magic,2025,1.0,White,Instant,"Curaga, Cura, Tiered, Cure",4,life,1,5,5.0
30,Battle Menu,2025,2.0,White,Instant,"Attack, Ability, Item, Magic",4,"removal, tokens, life, pump",4,8,4.0
31,Throne of the Grim Captain // The Grim Captain,2023,2.0,Colorless,Creature,"Lifelink, Craft, Transform, Hexproof, Trample, Menace, Mill",7,,1,8,4.0
32,Unfortunate Accident,2024,1.0,Black,Instant,Spree,1,"removal, tokens, pump",3,4,4.0
33,Beamtown Beatstick,2023,1.0,Red,Artifact,"Treasure, Equip",2,"tokens, pump",2,4,4.0
34,Lunarch Veteran // Luminous Phantom,2021,1.0,White,Creature,"Flying, Transform, Disturb",3,life,1,4,4.0
35,Sentinel's Eyes,2020,1.0,White,Enchantment,"Enchant, Escape",2,"graveyard, pump",2,4,4.0
36,Student of Warfare,2010,1.0,White,Creature,"First strike, Level Up, Double strike",3,,1,4,4.0
37,Shamble Back,2016,1.0,Black,Sorcery,,0,"removal, tokens, graveyard, life",4,4,4.0
38,Honest Work,2025,1.0,Blue,Enchantment,Enchant,1,"counters, ramp, pump",3,4,4.0
39,Trickster's Talisman,2021,1.0,Blue,Artifact,Equip,1,"tokens, pump, copy",3,4,4.0
40,Burnout Bashtronaut,2025,1.0,Red,Creature,"Max speed, Menace, Start your engines!",3,pump,1,4,4.0
41,Quag Vampires,2010,1.0,Black,Creature,"Landwalk, Swampwalk, Multikicker",3,,1,4,4.0
42,"Tamiyo, Inquisitive Student // Tamiyo, Seasoned Scholar",2024,1.0,Blue,Creature,"Flying, Investigate, Transform",3,blink,1,4,4.0
43,Deathrite Shaman,2012,1.0,Colorless,Creature,,0,"removal, ramp, graveyard, life",4,4,4.0
44,"Errant, Street Artist",2022,1.0,Blue,Creature,"Haste, Flash, Defender",3,copy,1,4,4.0
45,Trackhand Trainer,2025,1.0,Blue,Creature,"Exhaust, Conjure",2,"card_advantage, counters",2,4,4.0
46,Dawnhand Dissident,2026,1.0,Black,Creature,"Blight, Surveil",2,"removal, graveyard",2,4,4.0
47,Escape Velocity,2020,1.0,Red,Enchantment,"Enchant, Escape",2,"graveyard, pump",2,4,4.0
48,Candlestick,2024,1.0,Blue,Artifact,"Surveil, Equip",2,"card_advantage, pump",2,4,4.0
49,Mogis's Favor,2020,1.0,Black,Enchantment,"Enchant, Escape",2,"graveyard, pump",2,4,4.0
50,Skeleton Key,2016,1.0,Colorless,Artifact,Equip,1,"card_advantage, discard, evasion",3,4,4.0
51,The Underworld Cookbook,2021,1.0,Colorless,Artifact,Food,1,"tokens, graveyard, discard",3,4,4.0
52,Ichor Drinker,2023,1.0,Black,Creature,"Lifelink, Incubate, Transform",3,graveyard,1,4,4.0
53,Ransom Note,2024,1.0,Colorless,Artifact,"Surveil, Goad, Cloak",3,card_advantage,1,4,4.0
54,Tome of Gadwick,2023,1.0,Blue,Artifact,"Equip, Conjure",2,"pump, protection",2,4,4.0
55,Kumano Faces Kakkazan // Etching of Kumano,2022,1.0,Red,Creature,"Transform, Haste",2,"direct_damage, blink",2,4,4.0
56,Okiba Reckoner Raid // Nezumi Road Captain,2022,1.0,Black,Creature,"Transform, Menace",2,"life, blink",2,4,4.0
57,Vicious Rumors,2018,1.0,Black,Sorcery,Mill,1,"direct_damage, discard, life",3,4,4.0
58,Dire Flail // Dire Blunderbuss,2023,1.0,Red,Artifact,"Craft, Transform, Equip",3,pump,1,4,4.0
59,Prying Blade,2017,1.0,Colorless,Artifact,"Treasure, Equip",2,"tokens, pump",2,4,4.0
60,Animate Spell,2019,1.0,Blue,Enchantment,"Enchant, Convert, Flash",3,,1,4,4.0
61,Lantern Bearer // Lanterns' Lift,2021,1.0,Blue,Creature,"Flying, Transform, Enchant, Disturb",4,,0,4,4.0
62,The Knight of Weeks,2024,1.0,White,Creature,"Lifelink, Vigilance, First strike",3,pump,1,4,4.0
63,"Valentin, Dean of the Vein // Lisette, Dean of the Root",2020,1.0,Black,Creature,"Lifelink, Menace",2,"tokens, life",2,4,4.0
64,Meltstrider's Resolve,2025,1.0,Green,Enchantment,"Fight, Enchant",2,"pump, evasion",2,4,4.0
65,Traverse Valley,2024,1.0,Green,Sorcery,"Forage, Seek, Kicker",3,,1,4,4.0
66,Zealot's Conviction,2023,1.0,White,Enchantment,"Enchant, Corrupted, Flash",3,pump,1,4,4.0
67,Nesting Bot,2025,1.0,White,Creature,"Max speed, Start your engines!",2,"tokens, pump",2,4,4.0
68,Bloodforged Battle-Axe,2016,1.0,Colorless,Artifact,Equip,1,"tokens, pump, copy",3,4,4.0
69,Krovod Haunch,2024,1.0,White,Artifact,Equip,1,"tokens, life, pump",3,4,4.0
70,Hard Cover,2019,1.0,Blue,Enchantment,Enchant,1,"card_advantage, discard, pump",3,4,4.0
71,Mistway Spy,2024,1.0,Blue,Creature,"Flying, Investigate, Disguise",3,,1,4,4.0
72,Fervent Champion,2019,1.0,Red,Creature,"First strike, Haste",2,"ramp, pump",2,4,4.0
73,Party Dude,2026,1.0,Green,Enchantment,Food,1,"card_advantage, tokens, pump",3,4,4.0
74,Many Partings,2023,1.0,Green,Sorcery,Food,1,"tokens, ramp, tutor",3,4,4.0
75,Thousand-Faced Shadow,2022,1.0,Blue,Creature,"Flying, Ninjutsu",2,"tokens, copy",2,4,4.0
76,Salvage Drone,2015,1.0,Blue,Creature,"Devoid, Ingest",2,"card_advantage, discard",2,4,4.0
77,Thraben Gargoyle // Stonewing Antagonizer,2016,1.0,Colorless,Creature,"Flying, Transform, Defender",3,,1,4,4.0
78,Spiked Pit Trap,2021,1.0,Colorless,Artifact,"Treasure, Flash",2,"direct_damage, tokens",2,4,4.0
79,Concealing Curtains // Revealing Eye,2021,1.0,Black,Creature,"Transform, Menace, Defender",3,,1,4,4.0
80,Rope,2024,1.0,Green,Artifact,Equip,1,"card_advantage, pump, evasion",3,4,4.0
81,Scavenger's Talent,2024,1.0,Black,Enchantment,"Food, Mill",2,"tokens, graveyard",2,4,4.0
82,Great Train Heist,2024,1.0,Red,Instant,"Treasure, Spree",2,"tokens, pump",2,4,4.0
83,Evershrike's Gift,2026,1.0,White,Enchantment,"Blight, Enchant",2,"graveyard, pump",2,4,4.0
84,A-Lantern Bearer // A-Lanterns' Lift,2021,1.0,Blue,Creature,"Flying, Transform, Enchant, Disturb",4,,0,4,4.0
85,Inchblade Companion,2022,1.0,White,Creature,Reconfigure,1,"tokens, pump, copy",3,4,4.0
86,Forsworn Paladin,2021,1.0,Black,Creature,"Treasure, Menace",2,"tokens, pump",2,4,4.0
87,Faerie Dreamthief,2023,1.0,Black,Creature,"Flying, Surveil",2,"card_advantage, graveyard",2,4,4.0
88,Ruin-Lurker Bat,2023,1.0,White,Creature,"Scry, Flying, Lifelink",3,,1,4,4.0
89,Miner's Guidewing,2023,1.0,White,Creature,"Flying, Vigilance, Explore",3,,1,4,4.0
90,Lead Pipe,2024,1.0,Black,Artifact,Equip,1,"card_advantage, life, pump",3,4,4.0
91,Gilded Goose,2019,1.0,Green,Creature,"Flying, Food",2,"tokens, ramp",2,4,4.0
92,Village Messenger // Moonrise Intruder,2016,1.0,Red,Creature,"Transform, Haste, Menace",3,,1,4,4.0
93,Sticky Fingers,2022,1.0,Red,Enchantment,"Treasure, Enchant",2,"card_advantage, tokens",2,4,4.0
94,Combat Research,2022,1.0,Blue,Enchantment,Enchant,1,"card_advantage, pump, protection",3,4,4.0
95,"Odric, Blood-Cursed",2021,3.0,Multicolor,Creature,"Deathtouch, Lifelink, Reach, Indestructible, Hexproof, First strike, Haste, Trample, Menace, Double strike",10,tokens,1,11,3.6666666666666665
96,Rory Williams,2023,2.0,Multicolor,Creature,"Lifelink, Investigate, The Last Centurion, Partner with, First strike, Partner",6,,1,7,3.5
97,Everything Pizza,2026,2.0,Colorless,Artifact,,0,"card_advantage, direct_damage, counters, ramp, discard, tutor, life",7,7,3.5
98,"Dennick, Pious Apprentice // Dennick, Pious Apparition",2020,2.0,Multicolor,Creature,"Flying, Lifelink, Investigate, Transform, Disturb",5,,1,6,3.0
99,Charming Scoundrel,2023,2.0,Red,Creature,"Role token, Treasure, Haste",3,"card_advantage, tokens, discard",3,6,3.0
100,Path to the World Tree,2021,2.0,Green,Enchantment,,0,"card_advantage, direct_damage, tokens, ramp, tutor, life",6,6,3.0
101,"Wilson, Refined Grizzly",2022,2.0,Green,Creature,"Reach, Vigilance, Choose a background, Trample, Ward",5,,1,6,3.0
102,Invasion of Ergamon // Truga Cliffcharger,2023,2.0,Multicolor,Creature,"Transform, Treasure, Trample",3,"card_advantage, tokens, discard",3,6,3.0
103,Pteramander,2019,1.0,Blue,Creature,"Flying, Adapt",2,ramp,1,3,3.0
104,Oracle's Restoration,2026,1.0,Green,Sorcery,,0,"card_advantage, life, pump",3,3,3.0
105,Giant's Amulet,2021,1.0,Blue,Artifact,Equip,1,"tokens, pump",2,3,3.0
106,Bloodthorn Flail,2023,1.0,Black,Artifact,Equip,1,"discard, pump",2,3,3.0
107,Gran-Gran,2025,1.0,Blue,Creature,,0,"card_advantage, ramp, discard",3,3,3.0
108,Funeral Pyre,2002,1.0,White,Instant,,0,"removal, tokens, graveyard",3,3,3.0
109,Zephyr Boots,2021,1.0,Colorless,Artifact,Equip,1,"card_advantage, discard",2,3,3.0
110,Atomic Microsizer,2025,1.0,Blue,Artifact,Equip,1,"pump, evasion",2,3,3.0
111,Nutrient Block,2025,1.0,Colorless,Artifact,Indestructible,1,"card_advantage, life",2,3,3.0
112,Minion of the Mighty,2021,1.0,Red,Creature,"Pack tactics, Menace",2,,1,3,3.0
113,Proper Laboratory Attire,2017,1.0,Colorless,Artifact,Equip,1,"pump, protection",2,3,3.0
114,Kolaghan Stormsinger,2015,1.0,Red,Creature,"Haste, Megamorph",2,,1,3,3.0
115,Candletrap,2021,1.0,White,Enchantment,"Enchant, Coven",2,protection,1,3,3.0
116,Ghostfire Blade,2014,1.0,Colorless,Artifact,Equip,1,"ramp, pump",2,3,3.0
117,Daydream,2026,1.0,White,Sorcery,Flashback,1,"removal, blink",2,3,3.0
118,Requisition Raid,2024,1.0,White,Sorcery,Spree,1,"removal, counters",2,3,3.0
119,Apathy,1997,1.0,Blue,Enchantment,Enchant,1,"discard, stax",2,3,3.0
120,Omen of the Dead,2020,1.0,Black,Enchantment,"Flash, Scry",2,graveyard,1,3,3.0
121,Kitesail Cleric,2020,1.0,White,Creature,"Kicker, Flying",2,,1,3,3.0
122,Dragon's Rage Channeler,2021,1.0,Red,Creature,"Delirium, Surveil",2,pump,1,3,3.0
123,Urborg Repossession,2022,1.0,Black,Sorcery,Kicker,1,"graveyard, life",2,3,3.0
124,Dragon Mantle,2013,1.0,Red,Enchantment,Enchant,1,"card_advantage, pump",2,3,3.0
125,Case of the Uneaten Feast,2024,1.0,White,Enchantment,Solved,1,"graveyard, life",2,3,3.0
126,Phantom Interference,2024,1.0,Blue,Instant,Spree,1,"tokens, counterspell",2,3,3.0
127,Squire's Lightblade,2025,1.0,White,Artifact,"Equip, Flash",2,pump,1,3,3.0
128,Ephemerate,2019,1.0,White,Instant,Rebound,1,"removal, blink",2,3,3.0
129,A-Dragon's Rage Channeler,2021,1.0,Red,Creature,"Delirium, Surveil",2,pump,1,3,3.0
130,Point the Way,2025,1.0,Green,Enchantment,Start your engines!,1,"ramp, tutor",2,3,3.0
131,Nimble Mongoose,2001,1.0,Green,Creature,"Shroud, Threshold",2,pump,1,3,3.0
132,Beckon Apparition,2008,1.0,Colorless,Instant,,0,"removal, tokens, graveyard",3,3,3.0
133,Gingerbrute,2019,1.0,Colorless,Creature,Haste,1,"life, evasion",2,3,3.0
134,Torch the Tower,2023,1.0,Red,Instant,"Bargain, Scry",2,direct_damage,1,3,3.0
135,Horizon Spellbomb,2010,1.0,Colorless,Artifact,,0,"card_advantage, ramp, tutor",3,3,3.0
136,Evolved Sleeper,2022,1.0,Black,Creature,,0,"card_advantage, counters, pump",3,3,3.0
137,Neglected Heirloom // Ashmouth Blade,2016,1.0,Colorless,Artifact,"Transform, Equip",2,pump,1,3,3.0
138,Bagel and Schmear,2025,1.0,Colorless,Artifact,,0,"card_advantage, counters, life",3,3,3.0
139,Hopeful Eidolon,2013,1.0,White,Creature,"Lifelink, Bestow",2,pump,1,3,3.0
140,Assemble from Parts,2021,1.0,Black,Instant,,0,"tokens, graveyard, copy",3,3,3.0
141,Scrabbling Skullcrab,2024,1.0,Blue,Creature,"Mill, Eerie",2,,1,3,3.0
142,Favored Hoplite,2013,1.0,White,Creature,Heroic,1,"counters, protection",2,3,3.0
143,Skitter of Lizards,2010,1.0,Red,Creature,"Haste, Multikicker",2,,1,3,3.0
144,Crawl from the Cellar,2021,1.0,Black,Sorcery,Flashback,1,"counters, graveyard",2,3,3.0
145,Symmetry Sage,2021,1.0,Blue,Creature,"Flying, Magecraft",2,,1,3,3.0
146,Consuming Fervor,2017,1.0,Red,Enchantment,Enchant,1,"counters, pump",2,3,3.0
147,Excavated Wall,2021,1.0,Colorless,Creature,"Mill, Defender",2,,1,3,3.0
148,Cryptbreaker,2016,1.0,Black,Creature,,0,"card_advantage, tokens, discard",3,3,3.0
149,Adventuring Gear,2009,1.0,Colorless,Artifact,"Equip, Landfall",2,pump,1,3,3.0
150,Mausoleum Wanderer,2016,1.0,Blue,Creature,Flying,1,"counterspell, pump",2,3,3.0
151,Jack-o'-Lantern,2021,1.0,Colorless,Artifact,,0,"card_advantage, ramp, graveyard",3,3,3.0
152,So Tiny,2019,1.0,Blue,Enchantment,"Enchant, Flash",2,,1,3,3.0
153,Molting Snakeskin,2014,1.0,Black,Enchantment,Enchant,1,"pump, protection",2,3,3.0
154,Soul-Guide Lantern,2020,1.0,Colorless,Artifact,,0,"card_advantage, removal, graveyard",3,3,3.0
155,Rubblebelt Maverick,2024,1.0,Green,Creature,Surveil,1,"counters, graveyard",2,3,3.0
156,Rotten Reunion,2021,1.0,Black,Instant,Flashback,1,"tokens, graveyard",2,3,3.0
157,Purify the Grave,2011,1.0,White,Instant,Flashback,1,"removal, graveyard",2,3,3.0
158,Writ of Passage,2006,1.0,Blue,Enchantment,"Forecast, Enchant",2,evasion,1,3,3.0
159,Glowcap Lantern,2023,1.0,Green,Artifact,"Explore, Equip",2,,1,3,3.0
160,Jaddi Offshoot,2015,1.0,Green,Creature,"Defender, Landfall",2,life,1,3,3.0
161,Curious Obsession,2018,1.0,Blue,Enchantment,Enchant,1,"card_advantage, pump",2,3,3.0
162,An Offer You Can't Refuse,2022,1.0,Blue,Instant,Treasure,1,"tokens, counterspell",2,3,3.0
163,Soul Stair Expedition,2009,1.0,Black,Enchantment,Landfall,1,"counters, graveyard",2,3,3.0
164,Slip Through Space,2016,1.0,Blue,Sorcery,Devoid,1,"card_advantage, evasion",2,3,3.0
165,Black Scarab,1995,1.0,White,Enchantment,Enchant,1,"pump, evasion",2,3,3.0
166,Unstable Mutation,1993,1.0,Blue,Enchantment,Enchant,1,"counters, pump",2,3,3.0
167,Splash Portal,2024,1.0,Blue,Sorcery,,0,"card_advantage, removal, blink",3,3,3.0
168,Blisterpod,2015,1.0,Green,Creature,Devoid,1,"tokens, ramp",2,3,3.0
169,Stitcher's Graft,2016,1.0,Colorless,Artifact,Equip,1,"stax, pump",2,3,3.0
170,Fishing Pole,2024,1.0,Colorless,Artifact,Equip,1,"tokens, counters",2,3,3.0
171,Tchotchke Elemental,2022,1.0,Green,Creature,,0,"tokens, counters, pump",3,3,3.0
172,"Candela, Aegis of Adagia",2025,1.0,White,Artifact,"Station, Flash",2,pump,1,3,3.0
173,Sea Legs,2018,1.0,Blue,Enchantment,"Enchant, Flash",2,pump,1,3,3.0
174,Convenient Target,2024,1.0,Red,Enchantment,Enchant,1,"graveyard, pump",2,3,3.0
175,Ebony Charm,1996,1.0,Black,Instant,,0,"graveyard, life, evasion",3,3,3.0
176,Hopeful Initiate,2021,1.0,White,Creature,Training,1,"removal, counters",2,3,3.0
177,Aqueous Form,2013,1.0,Blue,Enchantment,"Enchant, Scry",2,evasion,1,3,3.0
178,Case of the Filched Falcon,2024,1.0,Blue,Enchantment,"Investigate, Solved",2,counters,1,3,3.0
179,Mindspring Merfolk,2025,1.0,Blue,Creature,Exhaust,1,"card_advantage, counters",2,3,3.0
180,Hyena Umbra,2010,1.0,White,Enchantment,"Umbra armor, Enchant",2,pump,1,3,3.0
181,Wall of Runes,2019,1.0,Blue,Creature,"Defender, Scry",2,,1,3,3.0
182,Kithkin Armor,1997,1.0,White,Enchantment,Enchant,1,"protection, evasion",2,3,3.0
183,Inventor's Axe,2024,1.0,Red,Artifact,"Equip, Flash",2,pump,1,3,3.0
184,"Ragavan, Nimble Pilferer",2021,1.0,Red,Creature,"Treasure, Dash",2,tokens,1,3,3.0
185,Soulstealer Axe,2021,1.0,Colorless,Artifact,"Seek, Equip",2,,1,3,3.0
186,Red Scarab,1995,1.0,White,Enchantment,Enchant,1,"pump, evasion",2,3,3.0
187,Goblins of the Flarg,1994,1.0,Red,Creature,"Landwalk, Mountainwalk",2,,1,3,3.0
188,Flamespeaker's Will,2014,1.0,Red,Enchantment,Enchant,1,"removal, pump",2,3,3.0
189,Darksteel Axe,2010,1.0,Colorless,Artifact,"Indestructible, Equip",2,pump,1,3,3.0
190,Pixie Illusionist,2022,1.0,Blue,Creature,"Kicker, Flying",2,,1,3,3.0
191,Rishadan Dockhand,2021,1.0,Blue,Creature,"Landwalk, Islandwalk",2,,1,3,3.0
192,Etherium Pteramander,2024,1.0,Black,Creature,"Flying, Adapt",2,ramp,1,3,3.0
193,The Last Ride,2025,1.0,Black,Artifact,Crew,1,"card_advantage, removal",2,3,3.0
194,Dust Corona,2007,1.0,Red,Enchantment,Enchant,1,"pump, evasion",2,3,3.0
195,Skyblinder Staff,2013,1.0,Colorless,Artifact,Equip,1,"pump, evasion",2,3,3.0
196,Shardmage's Rescue,2024,1.0,White,Enchantment,"Enchant, Flash",2,pump,1,3,3.0
197,Phoenix Chick,2022,1.0,Red,Creature,"Flying, Haste",2,graveyard,1,3,3.0
198,Unwilling Ingredient,2021,1.0,Black,Creature,Menace,1,"card_advantage, graveyard",2,3,3.0
199,Oona's Gatewarden,2008,1.0,Colorless,Creature,"Flying, Defender, Wither",3,,0,3,3.0
200,Elven Bow,2021,1.0,Green,Artifact,Equip,1,"tokens, pump",2,3,3.0
201,Ranger's Hawk,2021,1.0,White,Creature,"Flying, Venture into the dungeon",2,,1,3,3.0
202,Scrabbling Claws,2003,1.0,Colorless,Artifact,,0,"card_advantage, removal, graveyard",3,3,3.0
203,Strength-Testing Hammer,2022,1.0,Colorless,Artifact,Equip,1,"card_advantage, pump",2,3,3.0
204,Satyr's Cunning,2020,1.0,Red,Sorcery,Escape,1,"tokens, graveyard",2,3,3.0
205,Blue Scarab,1995,1.0,White,Enchantment,Enchant,1,"pump, evasion",2,3,3.0
206,Arcbound Javelineer,2021,1.0,White,Creature,Modular,1,"direct_damage, counters",2,3,3.0
207,Gift of the Woods,1996,1.0,Green,Enchantment,Enchant,1,"life, pump",2,3,3.0
208,Utopia Mycon,2007,1.0,Green,Creature,,0,"tokens, counters, ramp",3,3,3.0
209,Tiefling Outcasts,2022,1.0,Red,Creature,"Double team, Conjure",2,pump,1,3,3.0
210,Brave the Wilds,2023,1.0,Green,Sorcery,Bargain,1,"ramp, tutor",2,3,3.0
211,Predator's Gambit,2012,1.0,Black,Enchantment,Enchant,1,"pump, evasion",2,3,3.0
212,Topplegeist,2016,1.0,White,Creature,"Flying, Delirium",2,,1,3,3.0
213,Phyrexian Furnace,1997,1.0,Colorless,Artifact,,0,"card_advantage, removal, graveyard",3,3,3.0
214,Distortion Strike,2010,1.0,Blue,Sorcery,Rebound,1,"pump, evasion",2,3,3.0
215,Hearth Charm,1997,1.0,Red,Instant,,0,"removal, pump, evasion",3,3,3.0
216,Silver Raven,2021,1.0,Blue,Creature,"Scry, Flying",2,,1,3,3.0
217,Enter the Avatar State,2025,1.0,White,Instant,"Lifelink, First strike",2,,1,3,3.0
218,Audacity,2022,1.0,Green,Enchantment,Enchant,1,"card_advantage, pump",2,3,3.0
219,Spyglass Siren,2023,1.0,Blue,Creature,"Flying, Explore",2,tokens,1,3,3.0
220,Kirtar's Desire,2001,1.0,White,Enchantment,"Enchant, Threshold",2,stax,1,3,3.0
221,Barrier of Bones,2018,1.0,Black,Creature,"Surveil, Defender",2,,1,3,3.0
222,Tormentor's Helm,2021,1.0,Red,Artifact,Equip,1,"direct_damage, pump",2,3,3.0
223,Iridescent Vinelasher,2024,1.0,Black,Creature,"Offspring, Landfall",2,direct_damage,1,3,3.0
224,Living Artifact,1993,1.0,Green,Enchantment,Enchant,1,"counters, life",2,3,3.0
225,Placid Rottentail,2023,1.0,Green,Creature,Vigilance,1,"counters, graveyard",2,3,3.0
226,Spark Elemental,2004,1.0,Red,Creature,"Haste, Trample",2,,1,3,3.0
227,Pawpatch Recruit,2024,1.0,Green,Creature,"Offspring, Trample",2,counters,1,3,3.0
228,Viashino Branchrider,2022,1.0,Red,Creature,"Haste, Kicker",2,pump,1,3,3.0
229,Sicken,1998,1.0,Black,Enchantment,"Enchant, Cycling",2,,1,3,3.0
230,Watery Grasp,2025,1.0,Blue,Enchantment,"Enchant, Waterbend",2,stax,1,3,3.0
231,Flowerfoot Swordmaster,2024,1.0,White,Creature,"Offspring, Valiant",2,pump,1,3,3.0
232,Cement Shoes,2022,1.0,Colorless,Artifact,Equip,1,"stax, pump",2,3,3.0
233,Curious Inquiry,2024,1.0,Blue,Enchantment,"Investigate, Enchant",2,pump,1,3,3.0
234,"Zabaz, the Glimmerwasp",2021,1.0,Colorless,Creature,Modular,1,"removal, counters",2,3,3.0
235,Hypnotic Siren,2014,1.0,Blue,Creature,"Flying, Bestow",2,pump,1,3,3.0
236,Eye Collector,2019,1.0,Black,Creature,"Flying, Mill",2,,1,3,3.0
237,Woodland Investigation,2024,1.0,Green,Sorcery,,0,"card_advantage, ramp, tutor",3,3,3.0
238,Secrets of the Key,2021,1.0,Blue,Instant,"Investigate, Flashback",2,,1,3,3.0
239,Legion Loyalist,2013,1.0,Red,Creature,"Battalion, Haste",2,evasion,1,3,3.0
240,Strange Augmentation,2016,1.0,Black,Enchantment,"Delirium, Enchant",2,pump,1,3,3.0
241,Light of Hope,2020,1.0,White,Instant,,0,"removal, counters, life",3,3,3.0
242,Jet's Brainwashing,2025,1.0,Red,Sorcery,Kicker,1,"tokens, steal",2,3,3.0
243,Swashbuckler's Whip,2023,1.0,Colorless,Artifact,"Discover, Equip",2,,1,3,3.0
244,Flayer Husk,2011,1.0,Colorless,Artifact,"Equip, Living weapon",2,pump,1,3,3.0
245,Street Savvy,2006,1.0,Green,Enchantment,Enchant,1,"pump, evasion",2,3,3.0
246,Swift Reconfiguration,2022,1.0,White,Enchantment,"Enchant, Flash",2,,1,3,3.0
247,Callous Inspector,2025,1.0,Black,Creature,Menace,1,"direct_damage, tokens",2,3,3.0
248,Sleep of the Dead,2020,1.0,Blue,Sorcery,Escape,1,"graveyard, stax",2,3,3.0
249,Cogmentor,2017,1.0,Colorless,Creature,"Flying, Assemble",2,,1,3,3.0
250,Reinforced Ronin,2022,1.0,Red,Creature,"Haste, Channel",2,card_advantage,1,3,3.0
251,District Mascot,2025,1.0,Green,Creature,Saddle,1,"removal, counters",2,3,3.0
252,Taunting Kobold,2022,1.0,Red,Creature,"Goad, Haste",2,,1,3,3.0
253,Smuggler's Surprise,2024,1.0,Green,Instant,"Spree, Mill",2,,1,3,3.0
254,Taste for Mayhem,2006,1.0,Red,Enchantment,"Enchant, Hellbent",2,pump,1,3,3.0
255,Krosan Adaptation,2019,1.0,Green,Enchantment,"Storm, Enchant",2,pump,1,3,3.0
